state_sch_id,sch_name,level,stn_membership,stn_white_pct,stn_male_pct,stn_attendance_pct,stn_chronic_absence_pct,stn_safety_pct,stn_ell_pct,stn_frpl_pct,stn_gifted_pct,stn_homeless_pct,stn_iep_pct,stn_migrant_pct,tchr_experience_avg,tchr_new_pct,tchr_ma_plus_pct,tchr_national_board_pct,tchr_turnover_pct,tchr_waivers_pct,tell_students,tell_community,tell_leadership,dist_seek_funding,dist_building_funding,title1_status,student_teacher_ratio,prof_rd,prof_ma,cluster,pc1,pc2
014132020,William H Natcher Elementary School,ES,140,0.9785714285714285,0.5071428571428571,0.96,0.06428571428571428,0.02142857142857143,0,0.65,0.07857142857142857,0,0.2357142857142857,0,8.4,20,0.733,0.13333333333333333,0.3333333333333333,0,0.961,0.8640000000000001,0.889,5604,144146,3,0.07142857142857142,56.8,56.8,20,-0.10987080296522991,-0.786051921359113
118133017,Corbin Elementary,ES,402,0.9751243781094527,0.5298507462686567,0.9470000000000001,0.11691542288557213,0.022388059701492536,0.009950248756218905,0.6442786069651741,0.22885572139303484,0.022388059701492536,0.1517412935323383,0,8.3,12.5,0.667,0.125,0.3333333333333333,0,0.89,0.909,0.853,5096,2547689,3,0.058823529411764705,58.4,54.8,24,-0.1612683794261994,-0.246381521244612
118133018,Corbin Intermediate,ES,227,0.9515418502202643,0.5330396475770925,0.9440000000000001,0.14096916299559473,0.030837004405286344,0.022026431718061675,0.6035242290748899,0.2555066079295154,0.01762114537444934,0.1145374449339207,0,13.2,5.3,0.843,0.10526315789473684,1.1578947368421053,0,0.915,0.97,0.956,5096,2547689,3,0.05555555555555555,71.4,77.1,20,-0.1267516093184313,-0.6381102023653822
118133070,Corbin Primary,ES,593,0.954468802698145,0.5413153456998314,0.9390000000000001,0.18549747048903878,0.02023608768971332,0.013490725126475547,0.6475548060708263,0.17706576728499157,0.03372681281618887,0.16863406408094436,0.0016863406408094434,15.2,2.9,0.878,0.08823529411764706,0.11764705882352941,0,0.8370000000000001,0.9640000000000001,0.846,5096,2547689,3,0.0625,NA,NA,11,1.0712656394727085,-1.2152143354554663
059134160,Glenn O Swing Elementary,ES,458,0.4192139737991266,0.48034934497816595,0.965,0.07423580786026202,0.05240174672489083,0.1703056768558952,0.8493449781659389,0.06331877729257641,0.13755458515283842,0.1703056768558952,0,8,12,0.6,0.08,0.2,0,0.8959999999999999,0.871,0.935,4678,1381353,3,0.07142857142857142,72.6,63.3,1,-0.766987675729588,1.4701315006670823
059134110,John G Carlisle Elementary,ES,316,0.3575949367088608,0.5221518987341772,0.965,0.07278481012658228,0.08860759493670886,0.2721518987341772,0.9493670886075949,0.03164556962025317,0.2879746835443038,0.17088607594936708,0,8.8,27.3,0.545,0.045454545454545456,0.5454545454545454,0.09090909090909091,0.626,0.746,0.7490000000000001,4678,1381353,3,0.08333333333333333,48.7,38,7,-4.656834750434662,3.063925189041961
059134115,Latonia Elementary School,ES,374,0.5320855614973262,0.5213903743315508,0.9570000000000001,0.12032085561497326,0.1497326203208556,0.03208556149732621,0.8689839572192514,0.06951871657754011,0.3074866310160428,0.2192513368983957,0,5.7,22.7,0.545,0,0.2727272727272727,0,0.8370000000000001,0.821,0.919,4678,1381353,3,0.07142857142857142,50.9,47.2,7,-3.384281188209968,0.8939062810652131
059134150,Ninth District Elementary,ES,385,0.35584415584415585,0.5402597402597402,0.948,0.18441558441558442,0.38181818181818183,0.11948051948051948,0.9324675324675324,0.04935064935064935,0.14545454545454545,0.23636363636363636,0,7.3,29.2,0.542,0,0.4583333333333333,0.125,0.4,0.517,0.586,4678,1381353,3,0.07142857142857142,28.7,14.9,18,-7.839362780905676,4.038207597736476
059134170,Sixth District Elementary School,ES,415,0.3566265060240964,0.5277108433734939,0.958,0.1180722891566265,0.12048192771084337,0.1783132530120482,0.9325301204819277,0.04096385542168675,0.20481927710843373,0.21927710843373494,0,12.4,8,0.7090000000000001,0.08,0.04,0,0.289,0.439,0.63,4678,1381353,3,0.07692307692307693,43.5,28.8,25,-4.189786741809965,3.5037241124612186
028135100,Crittenden County Elementary School,ES,596,0.9345637583892618,0.5184563758389261,0.948,0.12248322147651007,0.08557046979865772,0,0.6510067114093959,0.13926174496644295,0.3523489932885906,0.21140939597315436,0.003355704697986577,10.1,8.8,0.6970000000000001,0,0.11764705882352941,0.058823529411764705,0.845,0.9279999999999999,0.8240000000000001,4725,490765,3,0.06666666666666667,49.3,42.6,8,-1.3247974396890856,-0.7505497489086366
